Team,Record,ELO,Rank,ELO_Delta,Seed,Region
Houston,30-4,1901.16,1,,,
Florida,30-4,1881.16,2,,,
Duke,31-3,1865.4,3,,,
Saint John's,30-4,1818.46,4,,,
Auburn,28-5,1815.51,5,,,
Tennessee,27-7,1794.54,6,,,
Michigan State,27-6,1793.8,7,,,
Alabama,25-8,1790.75,8,,,
Louisville,27-7,1747.08,9,,,
Michigan,25-9,1744.64,10,,,
BYU,24-9,1734.56,11,,,
Clemson,27-6,1724.27,12,,,
Gonzaga,25-8,1712.57,13,,,
Maryland,25-8,1710.29,14,,,
Memphis,29-5,1706.84,15,,,
Texas Tech,25-8,1706.56,16,,,
Wisconsin,26-9,1701.65,17,,,
VCU,27-6,1697.26,18,,,
Saint Mary's College,27-5,1695.63,19,,,
Colorado State,25-9,1694.98,20,,,
Arizona,22-12,1692.9,21,,,
Drake,28-3,1691.61,22,,,
Oregon,24-9,1686.06,23,,,
Kentucky,22-11,1680.15,24,,,
Creighton,24-10,1677.51,25,,,
Iowa State,24-9,1674.6,26,,,
Texas A&M,22-10,1671.08,27,,,
Ole Miss,22-11,1665.69,28,,,
Connecticut,23-10,1663.09,29,,,
North Carolina,23-13,1659.73,30,+4,,
Illinois,21-12,1657.45,31,-1,,
UC San Diego,28-4,1647.62,32,-1,,
UCLA,22-10,1644.8,33,-1,,
Purdue,22-11,1642.04,34,-1,,
Arkansas,20-13,1633.14,35,,,
New Mexico,25-7,1632.2,36,,,
Boise State,23-10,1626.79,37,,,
Kansas,21-12,1624.3,38,,,
Xavier,21-11,1610.73,39,,,
Marquette,23-10,1610.43,40,,,
Utah State,25-7,1601.22,41,,,
George Mason,25-8,1597.52,42,,,
Georgia,20-12,1593.8,43,,,
High Point,27-5,1593.12,44,,,
Indiana,19-13,1592.48,45,,,
Baylor,18-14,1590.63,46,,,
McNeese,25-6,1582.18,47,,,
Liberty,25-6,1578.91,48,,,
Oklahoma,20-13,1578.46,49,,,
Yale,21-7,1576.63,50,,,
Texas,19-15,1573.7,51,,,
Mississippi State,21-12,1573.16,52,,,
Missouri,22-11,1573.13,53,,,
Akron,26-6,1569.75,54,,,
Grand Canyon,25-7,1567.95,55,,,
Wake Forest,21-11,1567.57,56,+1,,
Dayton,21-10,1565.98,57,+1,,
San Francisco,23-9,1565.96,58,+1,,
Bradley,25-8,1563.07,59,+1,,
Vanderbilt,20-12,1549.09,60,+1,,
SMU,23-10,1548.08,61,+1,,
San Diego State,20-10,1548.05,62,-6,,
UC Irvine,27-6,1547.39,63,,,
UNCW,25-7,1536.34,64,,,
