Team,Seed,Region
Duke,1,East
Mississippi State,8,East
Baylor,9,East
Oregon,5,East
Liberty,12,East
Arizona,4,East
Akron,13,East
BYU,6,East
VCU,11,East
Wisconsin,3,East
Montana,14,East
Saint Mary's,7,East
Vanderbilt,10,East
Alabama,2,East
Robert Morris,15,East
Florida,1,West
Norfolk State,16,West
UConn,8,West
Oklahoma,9,West
Memphis,5,West
Colorado State,12,West
Maryland,4,West
Grand Canyon,13,West
Missouri,6,West
Drake,11,West
Texas Tech,3,West
UNC Wilmington,14,West
Kansas,7,West
Arkansas,10,West
St. John's (NY),2,West
Omaha,15,West
Auburn,1,South
Alabama State,16,South
Louisville,8,South
Creighton,9,South
Michigan,5,South
UC-San Diego,12,South
Texas A&M,4,South
Yale,13,South
Ole Miss,6,South
UNC,11,South
Iowa State,3,South
Lipscomb,14,South
Marquette,7,South
New Mexico,10,South
Michigan State,2,South
Bryant,15,South
Houston,1,Midwest
SIU-Edwardsville,16,Midwest
Gonzaga,8,Midwest
Georgia,9,Midwest
Clemson,5,Midwest
McNeese State,12,Midwest
Purdue,4,Midwest
High Point,13,Midwest
Illinois,6,Midwest
Kentucky,3,Midwest
Troy,14,Midwest
UCLA,7,Midwest
Utah State,10,Midwest
Tennessee,2,Midwest
Wofford,15,Midwest
